epoch,ip_src,ip_dst,length,timestamp
1742585054.9019423,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.901942253
1742585054.903926,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.903925896
1742585054.905903,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.905903101
1742585054.907905,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.907905102
1742585054.909937,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.909936905
1742585054.911868,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.911868095
1742585054.913894,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.913893938
1742585054.9158244,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.915824413
1742585054.917805,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.917804956
1742585054.9197829,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.919782877
1742585054.9218137,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.921813726
1742585054.9237401,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.923740149
1742585054.9257743,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.925774336
1742585054.9276974,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.927697420
1742585054.9297242,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.929724216
1742585054.9316547,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.931654692
1742585054.9336848,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.933684826
1742585054.935613,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.935612917
1742585054.937644,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.937644005
1742585054.93957,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.939569950
1742585054.9416015,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.941601515
1742585054.943527,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.943526983
1742585054.945556,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.945555925
1742585054.947484,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.947484016
1742585054.9495108,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.949510813
1742585054.9514415,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.951441526
1742585054.953474,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.953474045
1742585054.9553983,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.955398321
1742585054.9573903,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.957390308
1742585054.9593594,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.959359407
1742585054.961388,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.961388111
1742585054.9633148,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.963314772
1742585054.9652936,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.965293646
1742585054.9672656,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.967265606
1742585054.9692972,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.969297171
1742585054.971235,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.971235037
1742585054.9732585,128.111.5.228,192.168.40.2,778,2025-03-21 19:24:14.973258495
1742585054.9742436,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.974243641
1742585054.9762716,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.976271629
1742585054.9782484,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.978248358
1742585054.980228,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.980227947
1742585054.9822087,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.982208729
1742585054.9841852,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.984185219
1742585054.9861662,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.986166239
1742585054.988094,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.988094091
1742585054.9901247,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.990124702
1742585054.9921043,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.992104292
1742585054.994082,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.994081974
1742585054.996063,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.996062994
1742585054.9980357,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:14.998035669
1742585055.0000148,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.000014782
1742585055.0019965,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.001996517
1742585055.0039837,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.003983736
1742585055.0059526,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.005952597
1742585055.0079348,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.007934808
1742585055.0099096,128.111.5.228,192.168.40.2,746,2025-03-21 19:24:15.009909630
1742585055.0108776,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.010877609
1742585055.0128896,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.012889624
1742585055.0148704,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.014870405
1742585055.0168433,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.016843319
1742585055.0188248,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.018824816
1742585055.0207999,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.020799875
1742585055.0227787,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.022778749
1742585055.0247557,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.024755716
1742585055.0267344,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.026734352
1742585055.0287104,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.028710365
1742585055.0306864,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.030686378
1742585055.0326676,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.032667637
1742585055.0346537,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.034653664
1742585055.0365825,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.036582470
1742585055.0386045,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.038604498
1742585055.0405364,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.040536404
1742585055.0425653,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.042565346
1742585055.04454,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.044539928
1742585055.0465164,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.046516418
1742585055.048504,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.048504114
1742585055.050478,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.050477982
1742585055.0524602,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.052460194
1742585055.054438,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.054438114
1742585055.0564172,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.056417227
1742585055.058401,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.058401108
1742585055.0603733,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.060373306
1742585055.062348,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.062347889
1742585055.0643277,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.064327717
1742585055.0663047,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.066304684
1742585055.0682836,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.068283558
1742585055.070263,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.070262909
1742585055.0722454,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.072245359
1742585055.0742147,128.111.5.228,192.168.40.2,310,2025-03-21 19:24:15.074214697
1742585055.1425705,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.142570496
1742585055.144506,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.144505978
1742585055.146506,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.146506071
1742585055.1484745,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.148474455
1742585055.1504095,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.150409460
1742585055.1524315,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.152431488
1742585055.15441,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.154409885
1742585055.1563857,128.111.5.228,192.168.40.2,294,2025-03-21 19:24:15.156385660
1742585055.2080564,128.111.5.228,192.168.40.2,98,2025-03-21 19:24:15.208056450
1742585055.2081268,128.111.5.228,192.168.40.2,333,2025-03-21 19:24:15.208126783
1742585055.2088552,128.111.5.228,192.168.40.2,66,2025-03-21 19:24:15.208855152
1742585055.2115064,128.111.5.228,192.168.40.2,86,2025-03-21 19:24:15.211506367
1742585055.2116957,128.111.5.228,192.168.40.2,381,2025-03-21 19:24:15.211695671
1742585055.214882,128.111.5.228,192.168.40.2,83,2025-03-21 19:24:15.214881897
1742585055.2148912,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.214891195
1742585055.2149067,128.111.5.228,192.168.40.2,1484,2025-03-21 19:24:15.214906693
