epoch,ip_src,ip_dst,length,timestamp
1742585945.3598588,128.111.5.228,192.168.40.2,74,2025-03-21 19:39:05.359858751
1742585945.3730748,128.111.5.228,192.168.40.2,74,2025-03-21 19:39:05.373074770
1742585945.3797739,128.111.5.228,192.168.40.2,66,2025-03-21 19:39:05.379773855
1742585945.3798625,128.111.5.228,192.168.40.2,86,2025-03-21 19:39:05.379862547
1742585945.3815482,128.111.5.228,192.168.40.2,387,2025-03-21 19:39:05.381548166
1742585945.3903565,128.111.5.228,192.168.40.2,83,2025-03-21 19:39:05.390356541
1742585945.39037,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.390369892
1742585945.391543,128.111.5.228,192.168.40.2,1339,2025-03-21 19:39:05.391542912
1742585945.4041584,128.111.5.228,192.168.40.2,66,2025-03-21 19:39:05.404158354
1742585945.4057543,128.111.5.228,192.168.40.2,83,2025-03-21 19:39:05.405754328
1742585945.405819,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.405818939
1742585945.4058423,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.405842304
1742585945.4077492,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.407749176
1742585945.4096742,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.409674168
1742585945.411659,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.411659002
1742585945.4136283,128.111.5.228,192.168.40.2,83,2025-03-21 19:39:05.413628340
1742585945.4137409,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.413740873
1742585945.4157195,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.415719509
1742585945.417701,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.417701006
1742585945.4196837,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.419683695
1742585945.42166,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.421659946
1742585945.423638,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.423638105
1742585945.4256144,128.111.5.228,192.168.40.2,1084,2025-03-21 19:39:05.425614357
1742585945.4270616,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.427061558
1742585945.4290397,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.429039717
1742585945.4310172,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.431017160
1742585945.4329972,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.432997227
1742585945.4349756,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.434975624
1742585945.4371417,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.437141657
1742585945.439126,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.439126015
1742585945.4411006,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.441100597
1742585945.4430847,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.443084717
1742585945.4461741,128.111.5.228,192.168.40.2,1244,2025-03-21 19:39:05.446174145
1742585945.4497821,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.449782133
1742585945.4518092,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.451809168
1742585945.4537332,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.453733206
1742585945.4557643,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.455764294
1742585945.4584248,128.111.5.228,192.168.40.2,74,2025-03-21 19:39:05.458424807
1742585945.458521,128.111.5.228,192.168.40.2,74,2025-03-21 19:39:05.458520889
1742585945.4586236,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.458623648
1742585945.460603,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.460602999
1742585945.462586,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.462585926
1742585945.464561,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.464560986
1742585945.466535,128.111.5.228,192.168.40.2,74,2025-03-21 19:39:05.466535091
1742585945.4699123,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.469912291
1742585945.471894,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.471894026
1742585945.4738717,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.473871708
1742585945.4758575,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.475857496
1742585945.479453,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.479453087
1742585945.4814386,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.481438637
1742585945.4834113,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.483411312
1742585945.48539,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.485389948
1742585945.4912105,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.491210461
1742585945.4932473,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.493247271
1742585945.4951713,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.495171309
1742585945.4972005,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.497200489
1742585945.5086553,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.508655310
1742585945.51064,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.510639906
1742585945.5126133,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.512613297
1742585945.5145984,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.514598370
1742585945.516965,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.516964912
1742585945.518948,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.518948078
1742585945.5209222,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.520922184
1742585945.5228992,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.522899150
1742585945.5294735,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.529473543
1742585945.5314598,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.531459808
1742585945.533432,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.533432007
1742585945.5354164,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.535416365
1742585945.53772,128.111.5.228,192.168.40.2,83,2025-03-21 19:39:05.537719965
1742585945.5378332,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.537833214
1742585945.5398157,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.539815664
1742585945.5421038,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.542103767
1742585945.5440824,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.544082403
1742585945.5461135,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.546113491
1742585945.5480409,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.548040867
1742585945.550017,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.550017118
1742585945.551996,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.551995993
1742585945.55398,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.553980112
1742585945.556136,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.556135893
1742585945.5581214,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.558121443
1742585945.5601,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.560100079
1742585945.5620737,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.562073708
1742585945.5644236,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.564423561
1742585945.5664055,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.566405535
1742585945.568438,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.568438053
1742585945.5703623,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.570362329
1742585945.5723372,128.111.5.228,192.168.40.2,66,2025-03-21 19:39:05.572337151
1742585945.5724173,128.111.5.228,192.168.40.2,66,2025-03-21 19:39:05.572417259
1742585945.5725043,128.111.5.228,192.168.40.2,83,2025-03-21 19:39:05.572504282
1742585945.5759284,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.575928450
1742585945.5779653,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.577965260
1742585945.5798905,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.579890490
1742585945.5819187,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.581918716
1742585945.5852444,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.585244417
1742585945.5872307,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.587230682
1742585945.58921,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.589210033
1742585945.5911868,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.591186762
1742585945.593217,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.593216896
1742585945.595141,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.595140934
1742585945.5971177,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.597117662
1742585945.5990963,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.599096298
1742585945.6010745,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.601074457
1742585945.6030502,128.111.5.228,192.168.40.2,83,2025-03-21 19:39:05.603050232
1742585945.6031659,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.603165865
1742585945.6051447,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.605144739
1742585945.607122,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.607121944
1742585945.6091,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.609100103
1742585945.611078,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.611078024
1742585945.613057,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.613056898
1742585945.61504,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.615040064
1742585945.617015,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.617014885
1742585945.6189923,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.618992329
1742585945.6300066,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.630006552
1742585945.631985,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.631984949
1742585945.6339693,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.633969307
1742585945.6376812,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.637681246
1742585945.639656,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.639656067
1742585945.6416457,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.641645670
1742585945.6436162,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.643616199
1742585945.6455956,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.645595551
1742585945.6480544,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.648054361
1742585945.6500878,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.650087833
1742585945.6520388,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.652038813
1742585945.654031,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.654031038
1742585945.6625745,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.662574530
1742585945.6646123,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.664612293
1742585945.6665373,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.666537285
1742585945.668516,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.668515921
1742585945.6728995,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.672899485
1742585945.6748755,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.674875498
1742585945.6768568,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.676856756
1742585945.6788297,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.678829670
1742585945.6837208,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.683720827
1742585945.6857533,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.685753345
1742585945.6885145,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.688514471
1742585945.6905463,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.690546274
1742585945.6925268,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.692526817
1742585945.7068088,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.706808805
1742585945.708845,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.708844900
1742585945.7131116,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.713111639
1742585945.7150948,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.715094805
1742585945.7198544,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.719854355
1742585945.7218328,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.721832752
1742585945.7240748,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.724074841
1742585945.726108,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.726108074
1742585945.7330987,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.733098745
1742585945.7350776,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.735077620
1742585945.737949,128.111.5.228,192.168.40.2,1252,2025-03-21 19:39:05.737948895
1742585945.7396283,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.739628315
1742585945.7415996,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.741599560
1742585945.7483578,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.748357773
1742585945.7503874,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.750387430
1742585945.752313,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.752312899
1742585945.7542863,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.754286289
1742585945.7562656,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.756265640
1742585945.7582443,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.758244276
1742585945.7682033,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.768203259
1742585945.7701812,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.770181179
1742585945.77216,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.772160053
1742585945.7741387,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.774138689
1742585945.8061957,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.806195736
1742585945.808175,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.808175087
1742585945.8101528,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.810152769
1742585945.8121371,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.812137127
1742585945.8145957,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.814595699
1742585945.8165817,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.816581726
1742585945.818609,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.818608999
1742585945.8205376,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.820537567
1742585945.836447,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.836447001
1742585945.838434,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.838433981
1742585945.8403971,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.840397120
1742585945.8423748,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.842374802
1742585945.8444133,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.844413280
1742585945.846338,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.846338034
1742585945.8483691,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.848369122
1742585945.850346,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.850346088
1742585945.8522732,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.852273226
1742585945.8542545,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.854254484
1742585945.8562324,128.111.5.228,192.168.40.2,1484,2025-03-21 19:39:05.856232405
