chunk_id,timestamp,bin,bin_duration,length,ip_src,ip_dst,avg_ssim,avg_video_size,bitrate_kbps
0,2025-03-21 19:39:05.359858751,2025-03-21 19:39:00,10,74,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.373074770,2025-03-21 19:39:00,10,74,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.379774094,2025-03-21 19:39:00,10,66,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.379862309,2025-03-21 19:39:00,10,86,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.381548166,2025-03-21 19:39:00,10,387,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.390356302,2025-03-21 19:39:00,10,83,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.390369892,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.391542912,2025-03-21 19:39:00,10,1339,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.404158354,2025-03-21 19:39:00,10,66,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.405754328,2025-03-21 19:39:00,10,83,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.405818939,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.405842304,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.407749176,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.409674168,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.411659002,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.413628340,2025-03-21 19:39:00,10,83,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.413740873,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.415719509,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.417701006,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.419683695,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.421659946,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.423638105,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.425614357,2025-03-21 19:39:00,10,1084,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.427061558,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.429039717,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.431017160,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.432997227,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.434975624,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.437141657,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.439126015,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.441100597,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.443084717,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.446173906,2025-03-21 19:39:00,10,1244,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.449781895,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.451809168,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.453733206,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.455764294,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.458424807,2025-03-21 19:39:00,10,74,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.458520889,2025-03-21 19:39:00,10,74,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.458623648,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.460602999,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.462585926,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
0,2025-03-21 19:39:05.464560986,2025-03-21 19:39:00,10,1484,128.111.5.228,192.168.40.2,0.95136025,152190.0,121.752
