Unnamed: 0,packet_count,total_bytes,avg_packet_size,avg_inter_packet_delay,std_inter_packet_delay,chunk_count,avg_ssim,avg_format,avg_chunk_size
0,4155,6034168.0,1452.2666666666669,1.6574386133846897,5.760497005077729,14,0.9724313571428572,1920x1080-22,401506.2142857143
1,3388,4850245.0,1431.5953364817,2.218187186300561,9.32495342208105,10,0.9711647999999998,1920x1080-22,499983.9
2,3664,5287877.0,1443.197871179039,1.985803985803985,7.87423777117525,10,0.9711647999999998,1920x1080-22,499983.9
3,4108,5948521.0,1448.0333495618306,1.6880934989043097,5.89390509807482,11,0.9724244545454545,1920x1080-22,509411.0
4,4412,6419061.0,1454.9095648232094,1.5311720698254363,4.442954727496888,11,0.9805285454545452,1920x1080-22,559972.0909090909
5,3137,4541007.0,1447.563595792158,2.5283801020408165,10.558623309999332,11,0.9631565454545452,1920x1080-22,370809.8181818182
6,3235,4713312.0,1456.974343122102,2.383116883116883,9.564388413329532,14,0.9709304285714284,1280x720-20,297019.0714285714
7,3391,4947342.0,1458.9625479209672,2.2569321533923303,8.973694958476482,17,0.975956294117647,1280x720-20,252880.58823529413
8,3254,4770559.0,1466.059926244622,2.3541346449431293,10.941422951762402,17,0.982016294117647,1280x720-20,252181.9411764706
9,3142,4611403.0,1467.664863144494,2.524673670805476,13.185080009559613,15,0.9832752666666664,1280x720-20,258214.53333333333
10,2764,4044069.0,1463.1219247467438,2.916033297140789,15.794079803246529,15,0.9846267333333334,1280x720-20,232698.6
11,2368,3453174.0,1458.2660472972973,3.481622306717364,19.417814530824607,13,0.9851756923076924,1280x720-20,193854.2307692308
12,2040,2965116.0,1453.4882352941177,4.151544874938695,22.48408703954392,13,0.986501153846154,1280x720-20,152995.07692307694
13,1617,2332752.0,1442.6419294990724,5.40470297029703,27.80874528841123,12,0.9869810833333332,1280x720-20,111648.66666666669
14,1232,1759242.0,1427.9561688311687,7.299756295694557,33.46594459363403,12,0.9951745,1280x720-20,114303.91666666669
15,851,1197200.0,1406.8155111633373,10.88470588235294,43.12158871318158,10,0.9992484,1280x720-20,48436.8
16,633,876192.0,1384.1895734597156,15.044303797468354,51.97502381398847,8,0.9989315,1280x720-20,70106.875
17,450,610867.0,1357.4822222222222,21.03563474387528,62.86024782715295,5,0.9986442,1280x720-20,84030.4
18,477,653800.0,1370.649895178197,20.186974789915965,61.545063752998985,5,0.9982400000000002,1280x720-20,92260.6
19,479,655068.0,1367.5741127348642,19.834728033472803,61.22548939196704,5,0.9982400000000002,1280x720-20,92260.6
20,582,810473.0,1392.56529209622,16.492254733218587,55.70711482610065,5,0.9937488,1280x720-20,155670.8
21,3280,4696208.0,1431.770731707317,2.3092406221408965,9.31984653825042,12,0.9738398333333336,1920x1080-22,317703.25
22,3381,4864941.0,1438.9059449866904,2.1828402366863906,8.242497121440863,15,0.9770990666666668,1280x720-22,282515.4666666667
23,3774,5459664.0,1446.651828298887,1.9157169361251,6.804903012202535,16,0.9777265,1280x720-22,322337.875
24,4083,5936911.0,1454.0560862111192,1.710436060754532,5.611585434494954,16,0.98320975,1920x1080-22,388531.0625
25,4342,6328881.0,1457.5958083832336,1.57705597788528,4.453074454524034,14,0.9844769285714284,1920x1080-22,405360.9285714286
26,3326,4770603.0,1434.3364401683705,2.264661654135338,10.264371516555846,11,0.9622027272727272,1920x1080-22,362056.9090909091
27,3455,4970973.0,1438.7765557163532,2.1262304574406485,9.567529825415088,13,0.964911923076923,1920x1080-22,378022.0
28,3856,5568231.0,1444.0433091286309,1.8477302204928665,7.988571889913672,14,0.9661110714285712,1920x1080-22,391798.0714285714
29,4142,6006472.0,1450.1380975374216,1.6621588988167109,6.906984735088976,14,0.9721505,1920x1080-22,435052.3571428572
30,3606,5130801.0,1422.851081530782,2.055755894590846,8.44277125272558,9,0.9707697777777778,1920x1080-22,479901.4444444445
31,3801,5464756.0,1437.7153380689292,1.91,7.394400797758716,10,0.9718453,1920x1080-22,538377.6
32,4219,6095662.0,1444.8120407679544,1.6576576576576576,5.764948155045265,11,0.9730430909090908,1920x1080-22,544314.3636363636
33,4511,6552993.0,1452.6696962979383,1.4878048780487805,4.1181236246731965,11,0.9811471818181816,1920x1080-22,594875.4545454546
34,3313,4721799.0,1425.2336251131906,2.2714371980676327,9.889958827802124,12,0.970163,1920x1080-22,354850.75
35,3545,5103812.0,1439.7212976022568,2.0327313769751694,8.456838417273786,13,0.971429,1920x1080-22,385157.7692307693
36,3962,5725384.0,1445.0742049469964,1.762938651855592,6.947460334412199,14,0.9726227142857145,1920x1080-22,399350.1428571429
37,2814,3986373.0,1416.6215351812366,2.831141130465695,14.28406135625836,9,0.95892,1920x1080-22,362980.77777777775
38,2930,4184393.0,1428.1204778156996,2.660635029020144,13.613158527199571,12,0.96675475,1920x1080-22,299243.75
39,3015,4322732.0,1433.7419568822554,2.559721300597213,13.096912391441036,16,0.97493875,1280x720-20,234877.75
40,2902,4183169.0,1441.4779462439697,2.7001034126163392,15.242214121876025,16,0.97493875,1280x720-20,234877.75
41,2878,4151241.0,1442.4047949965254,2.7097671185262424,15.004606586631756,16,0.9813775,1280x720-20,234135.4375
42,2619,3770093.0,1439.516227567774,3.060733384262796,17.33947816992954,14,0.982008857142857,1280x720-20,221046.3571428572
43,2208,3174544.0,1437.7463768115942,3.700498414136837,20.549045394608928,14,0.9832134285714286,1280x720-20,179065.2142857143
44,1776,2539905.0,1430.1266891891892,4.733521126760564,25.05805041136616,13,0.9831923076923076,1280x720-20,148983.92307692306
