1748300340000,nbc,1,13,8
1748300520000,pbs,1,13,8
1748300640000,abc,1,13,1
1748300700000,cbs,1,13,7
1748300880000,fox,1,13,7
1748301000000,pbs,1,13,6
1748301060000,abc,1,13,8
1748301060000,pbs,1,13,1
1748301180000,cbs,1,13,8
1748301240000,nbc,1,13,10
1748301360000,cbs,1,13,1
1748301360000,fox,1,13,9
1748301420000,pbs,1,13,10
1748301540000,abc,1,13,10
1748301600000,cbs,1,13,10
1748301660000,cbs,1,13,1
1748301720000,nbc,1,13,10
1748301780000,fox,1,13,9
1748301900000,pbs,1,13,9
1748301960000,abc,1,13,10
1748302080000,cbs,1,13,10
1748302140000,nbc,1,13,9
1748302260000,fox,1,13,10
1748302320000,fox,1,13,2
1748302320000,pbs,1,13,10
1748302440000,abc,1,13,10
1748302500000,cbs,1,13,10
1748302620000,nbc,1,13,10
1748302680000,fox,1,13,9
1748302680000,nbc,1,13,1
1748302800000,pbs,1,13,8
1748302860000,abc,1,13,10
1748302980000,cbs,1,13,9
1748303040000,cbs,1,13,3
1748303040000,nbc,1,13,6
1748303160000,fox,1,13,10
1748303220000,cbs,1,13,1
1748303220000,pbs,1,13,8
1748303340000,abc,1,13,10
1748303400000,cbs,1,13,10
1748303520000,nbc,1,13,9
1748303580000,cbs,1,13,2
1748303580000,fox,1,13,8
1748303700000,pbs,1,13,10
1748303760000,abc,1,13,7
1748303760000,cbs,1,13,2
1748303760000,pbs,1,13,1
1748303880000,cbs,1,13,10
1748303940000,cbs,1,13,10
1748304060000,fox,1,13,10
1748304120000,cbs,1,13,9
1748304240000,abc,1,13,10
1748304300000,abc,1,13,1
1748304300000,cbs,1,13,9
1748304420000,nbc,1,13,7
1748304480000,cbs,1,13,7
1748304540000,fox,1,13,1
1748304600000,pbs,1,13,7
1748304660000,cbs,1,13,9
1748304780000,cbs,1,13,9
1748304960000,fox,1,13,10
1748305080000,pbs,1,13,1
1748305140000,abc,1,13,10
1748305260000,cbs,1,13,1
1748305320000,nbc,1,13,10
1748305440000,fox,1,13,1
1748305500000,pbs,1,13,9
1748305680000,cbs,1,13,10
1748305800000,nbc,1,13,2
1748305860000,fox,1,13,9
1748305980000,pbs,1,13,1
1748306040000,abc,1,13,9
1748306040000,cbs,1,13,1
1748306160000,cbs,1,13,1
1748306220000,nbc,1,13,10
1748306340000,fox,1,13,3
1748306400000,pbs,1,13,10
1748306520000,abc,1,13,1
1748306580000,cbs,1,13,10
1748306640000,cbs,1,13,1
1748306700000,nbc,1,13,10
1748306760000,cbs,1,13,2
1748306760000,fox,1,13,7
1748306880000,pbs,1,13,10
1748306940000,abc,1,13,5
1748306940000,cbs,1,13,1
1748307060000,cbs,1,13,8
1748307120000,cbs,1,13,1
1748307120000,nbc,1,13,10
1748307240000,cbs,1,13,1
1748307240000,fox,1,13,9
1748307300000,pbs,1,13,9
1748307420000,abc,1,13,10
1748307420000,cbs,1,13,1
1748307480000,cbs,1,13,9
1748307600000,nbc,1,13,10
1748307660000,fox,1,13,10
1748307780000,pbs,1,13,9
1748307840000,abc,1,13,10
1748307960000,cbs,1,13,9
1748308020000,cbs,1,13,1
1748308020000,nbc,1,13,8
1748308140000,fox,1,13,10
1748308200000,cbs,1,13,2
1748308200000,pbs,1,13,8
1748308260000,pbs,1,13,1
1748308320000,abc,1,13,10
1748308380000,cbs,1,13,10
1748308500000,nbc,1,13,9
1748308560000,fox,1,13,10
1748308680000,pbs,1,13,10
1748308740000,abc,1,13,7
1748308740000,cbs,1,13,2
1748308860000,cbs,1,13,10
1748308920000,cbs,1,13,1
1748308920000,nbc,1,13,9
1748309040000,fox,1,13,9
1748309100000,cbs,1,13,3
1748309100000,pbs,1,13,7
1748309220000,abc,1,13,10
1748309280000,cbs,1,13,10
